epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,39.9589,1.68212,4.60882,1.68742,0.31985,0.48632,0.32398,0.15814,1.68253,3.32563,1.94252,0.000656085,0.000656085,0.000656085
2,69.8561,1.76996,1.98612,1.74389,0.00298,0.00947,0.00049,0.00014,3.54973,5.68813,5.19683,0.0011918,0.0011918,0.0011918
3,99.3983,1.76959,1.86177,1.7221,0.00103,0.22,0.00064,0.0002,nan,nan,nan,0.00159551,0.00159551,0.00159551
4,128.211,1.74592,1.75764,1.70054,0.01815,0.54632,0.01572,0.00709,2.13013,40.1224,2.10672,0.001406,0.001406,0.001406
5,156.671,1.58363,1.54346,1.57314,0.625,0.66317,0.65957,0.3776,1.44406,1.5631,1.48985,0.001208,0.001208,0.001208
6,185.688,1.49954,1.40716,1.50646,0.48941,0.49895,0.42692,0.24798,1.47408,2.01626,1.46551,0.00101,0.00101,0.00101
7,214.232,1.40961,1.30942,1.44401,0.65149,0.68737,0.7279,0.46465,1.24925,1.31211,1.34015,0.000812,0.000812,0.000812
8,243.675,1.33343,1.21987,1.38744,0.69689,0.71579,0.75607,0.45372,1.31174,1.3147,1.38674,0.000614,0.000614,0.000614
9,272.078,1.25685,1.09374,1.32005,0.79804,0.76,0.82307,0.52706,1.22736,1.02553,1.30493,0.000416,0.000416,0.000416
10,300.538,1.19384,1.03233,1.29401,0.77416,0.76859,0.84694,0.58407,1.0989,0.987,1.22225,0.000218,0.000218,0.000218
